** File: unipathway2metacyc.tsv
**
** Synopsis: Mapping UniPathway (UPA, ULS, UER) / MetaCyc (reaction)
**
**
** UniPathway release 2014_11 of 2014/11/26
**
** MetaCyc release 18.5 of Wed Oct 29, 2014
**
** format: UPAID ULSID UERID MetaCyc_ID
**   with UPAID = UniPathway pathway (UPA) identifier
**        ULSID = UniPathway linear sub-pathway (ULS) identifier
**        UERID = UniPathway enzymatic-reaction (UER) identifier
**        MetaCyc_ID = MetaCyc reaction identifier
**        
**   separator: tab
**
UPA00034	ULS00006	UER00018	RXN-14014
UPA00034	ULS00006	UER00018	RXN-14014
UPA00395	ULS00316	UER00655	URUR-RXN
UPA00395	ULS00316	UER00655	ALLANTOATE-DEIMINASE-RXN
UPA00395	ULS00315	UER00654	ALLANTOICASE-RXN
UPA00250	ULS00135	UER00291	SPERMIDINE-DEHYDROGENASE-RXN
UPA00250	ULS00135	UER00291	SPERMIDINE-DEHYDROGENASE-RXN
UPA00010	ULS00360	UER00731	R101-RXN
UPA00010	ULS00360	UER00731	R101-RXN
UPA00010	ULS00360	UER00732	4.1.1.86-RXN
UPA00010	ULS00360	UER00732	4.1.1.86-RXN
UPA01057	ULS00509	UER00163	ISOCHORSYN-RXN
UPA01057	ULS00509	UER00164	2.5.1.64-RXN
UPA01057	ULS00509	UER00900	RXN-9310
UPA01057	ULS00509	UER00900	RXN-9310
UPA01057	ULS00509	UER00165	O-SUCCINYLBENZOATE-COA-SYN-RXN
UPA01057	ULS00509	UER00166	O-SUCCINYLBENZOATE-COA-LIG-RXN
UPA01057	ULS00509	UER00167	NAPHTHOATE-SYN-RXN
UPA01057	ULS00509	UER01033	RXN-9311
UPA01057	ULS00509	UER01033	RXN-9311
UPA00064	ULS00040	UER00091	DXS-RXN
UPA00842	ULS00406	UER00808	2.3.1.162-RXN
UPA00842	ULS00406	UER00808	2.3.1.162-RXN
UPA00842	ULS00406	UER00809	1.14.13.76-RXN
UPA00842	ULS00406	UER00809	1.14.13.76-RXN
UPA00842	ULS00406	UER00817	RXN-8865
UPA00842	ULS00406	UER00817	RXN-8865
UPA00799	ULS00508	UER01030	2.5.1.32-RXN
UPA00799	ULS00508	UER01030	RXN-13323
UPA00799	ULS00508	UER01030	RXN-13323
UPA00872	ULS00421	UER00847	RXN0-2381
UPA00872	ULS00421	UER00847	RXN0-2381
UPA00872	ULS00421	UER00848	RXN-6681
UPA00872	ULS00421	UER00848	RXN-6681
UPA00872	ULS00421	UER00849	RXN-6682
UPA00872	ULS00421	UER00849	RXN-6682
UPA00872	ULS00421	UER00850	RXN-6683
UPA00872	ULS00421	UER00850	RXN-6683
UPA00872	ULS00421	UER00851	RXN-6684
UPA00872	ULS00421	UER00851	RXN-6684
UPA00564	ULS00299	UER00627	GLUCARDEHYDRA-RXN
UPA00564	ULS00299	UER00627	GLUCARDEHYDRA-RXN
UPA00564	ULS00299	UER00628	4.2.1.41-RXN
UPA00564	ULS00299	UER00628	4.2.1.41-RXN
UPA00106	ULS00454	UER00489	R162-RXN
UPA00106	ULS00454	UER00489	R162-RXN
UPA00106	ULS00454	UER00490	R181-RXN
UPA00106	ULS00454	UER00490	R181-RXN
UPA00130	ULS00079	UER00192	2.4.1.217-RXN
UPA00130	ULS00079	UER00193	3.1.3.70-RXN
UPA00077	ULS00063	UER00152	H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN
UPA00077	ULS00063	UER00153	DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN
UPA00077	ULS00063	UER00153	DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN
UPA00077	ULS00063	UER00154	H2NEOPTERINALDOL-RXN
UPA00077	ULS00063	UER00155	H2PTERIDINEPYROPHOSPHOKIN-RXN
